code,title,caption,purpose,model,source_path,output_path,response_json,expected_width,expected_height,actual_width,actual_height,dimension_ok,status,note
P1-F12,2.13 캐시 메모리,P1-F12 Part1 document figure order reference,"2.13 캐시 메모리 / 캐시는 CPU와 주기억장치의 속도 차이를 줄이기 위한 고속 메모리다. CPU가 원하는 데이터가 캐시에 있으면 hit, 없으면 miss다. 지역성 원리에 따라 최근 사용한 데이터와 인접 데이터를 다시 사용할 가능성이 높다는 점을 이용한다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F12.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F12.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F12.json,2048,1101,2048,1101,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F13,2.14 디스크 접근과 RAID,P1-F13 Part1 document figure order reference,"2.14 디스크 접근과 RAID / 전통적 회전식 디스크의 접근시간은 탐색시간, 회전지연, 전송시간으로 구성된다. 탐색시간은 헤드를 목표 트랙으로 이동하는 시간, 회전지연은 목표 섹터가 헤드 아래에 올 때까지 기다리는 시간, 전송시간은 실제 데이터를 읽고 쓰는 시간이다. SSD에는 기계적 탐색과 회전지연이 없으므로 이 설명은 주로 HDD에 적용된다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F13.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F13.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F13.json,2048,1101,2048,1101,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F14,"2.15 보안 운영체제, 참조 모니터, TCB, TPM",P1-F14 Part1 document figure order reference,"2.15 보안 운영체제, 참조 모니터, TCB, TPM / 보안 운영체제는 식별·인증, 접근통제, 감사, 객체 재사용 보호, 프로세스 격리 같은 기능을 운영체제 핵심과 밀접하게 구현한다. 참조 모니터(Reference Monitor)는 주체가 객체에 접근할 때 모든 접근을 중재하는 추상 개념이다. 완전한 중재, 우회 불가능성, 검증 가능한 작은 구현이 핵심 조건이다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F14.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F14.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F14.json,2048,1163,2048,1163,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F15,2.16 휘발성 증거와 CPU 취약점,P1-F15 Part1 document figure order reference,"2.16 휘발성 증거와 CPU 취약점 / 사고 대응에서 휘발성 증거는 시간이 흐르거나 전원이 꺼지면 사라지기 쉬운 정보다. 일반적인 수집 우선순위는 레지스터·캐시, 메모리, 네트워크 상태와 임시 파일시스템, 디스크 순으로 설명한다. 현장에서는 증거가치, 수집 도구의 영향, 법적 절차를 함께 고려해야 한다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F15.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F15.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F15.json,2048,1136,2048,1136,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F16,2.16 휘발성 증거와 CPU 취약점,P1-F16 Part1 document figure order reference,"시험 포인트 | 2장 압축 정리 / • 커널은 자원 관리 핵심, 셸은 명령 해석기, 데몬은 백그라운드 서비스다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F16.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F16.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F16.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F17,3.1 Windows 보안 구조의 큰 그림,P1-F17 Part1 document figure order reference,구성요소 / 한 문장 역할,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F17.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F17.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F17.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F18,3.3 계정·암호·잠금 정책,P1-F18 Part1 document figure order reference,점검 항목 / 안전한 방향,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F18.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F18.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F18.json,2048,1163,2048,1163,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F19,3.5 NTFS와 접근권한,P1-F19 Part1 document figure order reference,개념 / 핵심,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F19.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F19.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F19.json,2048,1136,2048,1136,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F20,3.7 이벤트 로그와 감사정책,P1-F20 Part1 document figure order reference,"시험 포인트 | HKLM과 HKCU / HKLM은 컴퓨터 전체, HKCU는 현재 사용자 중심이다. 악성코드가 관리자 권한 없이도 사용자 로그온 시 실행되도록 HKCU의 자동실행 지점을 사용할 수 있다는 점을 함께 기억한다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F20.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F20.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F20.json,2048,1163,2048,1163,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F21,3.8 백업 유형과 복구,P1-F21 Part1 document figure order reference,"주의 | 쿠키 속성 오개념 바로잡기 / Secure는 “스크립트 접근 차단”이 아니라 HTTPS 전송 제한이고, HttpOnly가 스크립트 접근을 제한한다. SameSite는 CSRF 위험을 줄이는 교차 사이트 전송 정책이다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F21.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F21.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F21.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F23,"4.3 inode, superblock, 파일시스템 점검",P1-F23 Part1 document figure order reference,"4.3 inode, superblock, 파일시스템 점검 / inode는 파일의 유형, 권한, 소유자, 크기, 시간정보, 데이터 블록 위치 등 메타데이터를 저장한다. 일반적으로 파일 이름은 디렉터리 엔트리가 inode 번호와 연결한다. inode에 파일 이름 자체가 저장된다고 단순화하면 안 된다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F23.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F23.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F23.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F24,4.5 umask와 특수권한,P1-F24 Part1 document figure order reference,"4.5 umask와 특수권한 / umask는 새 파일과 디렉터리를 만들 때 기본 허용값에서 제거할 권한 비트를 지정한다. 일반적으로 새 일반파일은 실행권한을 자동 부여하지 않으므로 기준 666, 디렉터리는 기준 777에서 umask 영향을 계산한다. 예를 들어 umask 027이면 파일은 보통 640, 디렉터리는 750이 된다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F24.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F24.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F24.json,2048,1136,2048,1136,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F25,"4.6 passwd, shadow, salt",P1-F25 Part1 document figure order reference,"4.6 passwd, shadow, salt / /etc/passwd는 계정명, UID, GID, 설명, 홈 디렉터리, 로그인 셸 등의 정보를 저장한다. 현대 시스템에서 실제 비밀번호 해시는 보통 권한이 제한된 /etc/shadow에 저장된다. passwd의 비밀번호 필드에 x가 있으면 shadow를 참조한다는 의미다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F25.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F25.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F25.json,2048,1163,2048,1163,True,OK,Regenerated from Part1 DOCX SVG-style source. Prompt source had top title area removed.
P1-F26,4.7 PAM,P1-F26 Part1 document figure order reference,"4.7 PAM / PAM(Pluggable Authentication Modules)은 응용프로그램과 인증 방식을 분리해 공통 인증 정책을 모듈로 조합하게 한다. 전형적인 관리 그룹은 auth, account, password, session이다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F26.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F26.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F26.json,2048,1120,2048,1120,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F27,4.13 syslog와 logrotate,P1-F27 Part1 document figure order reference,"4.13 syslog와 logrotate / syslog 계열은 facility와 severity를 이용해 메시지를 분류한다. 대표 severity는 Emergency(0), Alert(1), Critical(2), Error(3), Warning(4), Notice(5), Informational(6), Debug(7) 순이다. 숫자가 작을수록 심각하다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F27.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F27.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F27.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F28,10. 백업 스크립트와 백업 파일의 umask·권한·복구 가능성을 확인한다.,P1-F28 Part1 document figure order reference,"시험 포인트 | 4장 압축 정리 / • inode는 메타데이터, 파일 이름은 디렉터리 엔트리가 inode와 연결한다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F28.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F28.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F28.json,2048,1161,2048,1161,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F30,5.4 로그 보호,P1-F30 Part1 document figure order reference,"5.4 로그 보호 / 로그 파일의 권한을 최소화하고 일반 사용자와 서비스 계정이 삭제·변조하지 못하게 한다. 중요 로그는 가능한 빨리 별도 로그 서버 또는 SIEM으로 전송한다. 전송 구간을 암호화·인증하고, 저장소에는 WORM·불변 스토리지·해시 체인·전자서명 같은 무결성 기법을 고려한다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F30.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F30.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F30.json,2048,1210,2048,1210,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F31,5.6 디지털 증거의 휘발성 순서,P1-F31 Part1 document figure order reference,5.6 디지털 증거의 휘발성 순서 / 증거 수집은 시스템을 변경할 수 있으므로 최소 영향과 기록이 중요하다. 일반적인 휘발성 순서는 다음과 같이 이해한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F31.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F31.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F31.json,2048,1136,2048,1136,True,OK,Regenerated from Part1 DOCX SVG-style source.
P1-F33,6.4 악성코드의 분류 기준,P1-F33 Part1 document figure order reference,"6.4 악성코드의 분류 기준 / 악성코드는 목적, 전파 방식, 실행 방식, 은닉 방식에 따라 여러 이름을 가진다. 하나의 악성코드가 트로이 목마로 위장해 다운로더 기능을 수행하고 백도어와 키로거를 설치할 수 있으므로 명칭이 상호배타적이지 않다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_extracted_sources\P1-F33.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F33.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part1_docx_style_regeneration_responses\P1-F33.json,2048,1136,2048,1136,True,OK,Regenerated from Part1 DOCX SVG-style source.
